1213	4.020	1
1393	4.130	1
1394	3.880	1
1395	3.907	3
1396	3.810	1
1833	3.240	1
1839	3.850	1
1843	4.220	1
1850	3.710	1
1887	4.150	1
1890	3.950	3
1892	3.926	5
1893	3.700	3
1895	3.280	1
1899	3.255	2
1900	4.053	3
1901	4.220	1
1902	4.090	3
1903	3.427	3
1904	3.810	2
1906	3.535	2
1907	3.683	4
1908	3.765	4
1909	3.640	4
1910	3.583	3
1912	3.360	3
1913	3.547	4
1914	4.040	1
1915	3.670	4
1916	3.800	3
1917	3.637	6
1918	3.328	5
1919	3.660	1
1920	3.799	7
1921	3.390	3
1922	3.717	6
1923	3.681	7
1924	3.753	3
1925	3.514	10
1926	3.623	9
1927	3.451	8
1928	3.576	22
1929	3.576	26
1930	3.756	28
1931	3.485	11
1932	3.543	14
1933	3.831	16
1934	3.687	22
1935	3.703	37
1936	3.717	16
1937	3.908	20
1938	3.913	19
1939	3.816	22
1940	3.795	26
1941	3.705	38
1942	3.726	28
1943	3.611	30
1944	3.731	37
1945	3.748	34
1946	3.723	57
1947	3.679	44
1948	3.771	39
1949	3.696	52
1950	3.630	83
1951	3.725	72
1952	3.705	64
1953	3.720	78
1954	3.634	75
1955	3.728	74
1956	3.686	64
1957	3.738	68
1958	3.717	95
1959	3.661	112
1960	3.752	110
1961	3.712	109
1962	3.742	137
1963	3.726	130
1964	3.774	167
1965	3.744	139
1966	3.750	165
1967	3.756	138
1968	3.773	173
1969	3.789	163
1970	3.809	179
1971	3.783	172
1972	3.753	219
1973	3.753	191
1974	3.768	240
1975	3.793	249
1976	3.800	274
1977	3.810	277
1978	3.765	245
1979	3.759	315
1980	3.765	344
1981	3.765	371
1982	3.771	385
1983	3.809	456
1984	3.759	529
1985	3.777	563
1986	3.798	599
1987	3.785	707
1988	3.789	697
1989	3.766	778
1990	3.768	835
1991	3.782	948
1992	3.760	1029
1993	3.777	1182
1994	3.782	1195
1995	3.768	1367
1996	3.802	1510
1997	3.776	1698
1998	3.771	1822
1999	3.774	1926
2000	3.777	2239
2001	3.791	2485
2002	3.790	2750
2003	3.788	3142
2004	3.797	3575
2005	3.794	4303
2006	3.778	4850
2007	3.771	5616
2008	3.771	6368
2009	3.795	7393
2010	3.796	9096
2011	3.793	12080
2012	3.804	14958
2013	3.840	15138
2014	3.855	14142
2015	3.876	12837
2016	3.890	11489
2017	3.933	7643
2018	4.006	238
2019	2.717	6
2020	4.560	2
2021	3.780	1
2035	3.660	1
2066	3.750	1
2101	3.180	1
2102	3.930	1
2103	3.770	1
2104	4.046	7
2105	4.260	3
2106	3.970	1
2116	3.580	1
2140	4.110	1
2208	3.890	1
2911	4.000	1
3013	4.020	2
